User,numAttachmentDay,numAttachmentNight,numSendDay,numSendNight,numRecievedDay,numRecievedNight,numEmailSentwithAttachDay,numEmailSentwithAttachNight,numEmailRecievedwithAttachDay,numEmailRecievedwithAttachNight,numdistinctRecipientsDay,numdistinctRecipientsNight,numinternalRecipientsDay,numinternalRecipientsNight
AAB0162,792,328,761,361,1409,615,81,42,328,139,696,358,467,233
AAB0398,1888,651,943,405,1794,669,246,89,647,241,748,403,434,257
AAC0610,488,139,318,70,533,131,184,40,122,29,465,176,271,103
AAC0668,1069,212,934,159,1683,339,231,34,343,81,801,242,493,150
AAC3270,284,42,107,13,195,29,86,8,63,13,225,61,172,40
AAD2188,142,67,87,33,178,48,17,10,47,25,279,105,169,66
AAD3030,1934,505,1309,333,2582,564,554,164,541,112,1072,294,709,166
AAF0819,1493,567,817,271,1519,520,373,134,405,148,758,301,501,176
AAF3937,209,37,101,23,190,30,46,10,63,11,278,82,187,57
AAG1447,590,120,888,172,1741,320,0,0,290,64,840,314,497,183
AAG3799,901,370,1280,514,2464,929,0,0,499,199,1066,514,599,310
AAH0721,834,397,697,386,1354,671,175,93,280,132,677,400,404,245
AAM0138,698,148,1125,224,2040,447,0,0,416,76,964,367,621,216
AAM0729,376,74,287,78,521,160,70,16,119,23,473,211,293,131
AAP0352,1542,278,937,179,1698,321,329,60,479,88,720,203,466,119
AAP1919,1093,142,1004,207,1925,351,105,18,439,70,1127,320,677,189
AAP1942,1439,299,885,203,1689,323,418,80,361,74,917,301,584,182
AAR0641,1658,166,976,105,1859,202,457,48,463,33,1073,209,657,127
AAS0144,440,162,812,283,1444,538,0,0,238,86,780,309,443,155
AAS2987,675,119,297,61,594,80,159,28,182,27,418,120,225,65
AAS3428,2273,1080,1671,726,3117,1400,541,247,722,317,1063,585,560,319
AAT2913,268,54,251,39,464,75,0,0,128,24,444,118,269,66
AAV3669,192,96,84,35,161,71,41,21,59,31,198,120,128,71
AAW0894,268,47,101,19,188,41,74,11,56,13,250,96,151,67
ABB0167,535,50,400,37,766,78,104,11,139,13,500,100,317,60
ABB0300,224,115,98,40,157,80,60,23,49,25,199,118,119,72
ABC3523,961,268,882,215,1555,453,102,20,383,116,758,287,473,167
ABD3426,2181,1135,1541,888,2879,1507,522,334,693,356,1100,689,622,400
ABE2352,348,105,259,104,522,167,32,15,138,41,463,214,284,120
ABG2353,509,175,275,95,493,180,111,35,169,59,364,148,218,79
ABG3605,1457,228,962,142,1755,249,337,40,420,67,891,186,504,106
ABH0349,127,19,104,29,182,29,17,6,49,7,255,78,150,41
ABH1181,867,535,708,370,1356,706,157,96,279,144,719,409,413,235
ABH2671,630,149,870,220,1662,360,0,0,327,89,789,215,522,131
ABJ0281,343,92,222,96,430,184,58,21,115,32,323,153,194,94
ABK0481,64,23,33,8,42,14,20,4,11,5,75,39,37,26
ABK3081,1442,802,843,459,1551,871,305,175,473,248,613,421,357,229
ABL0870,188,16,112,14,197,27,27,2,56,6,253,67,157,49
ABM3203,924,706,712,627,1377,1108,236,199,254,221,652,549,393,321
ABM3641,249,249,100,88,145,169,68,65,63,81,199,193,128,122
ABM3687,164,44,63,20,109,20,48,12,35,12,153,52,91,33
ABM3772,2434,853,1392,523,2613,997,598,211,754,259,835,437,512,258
ABM3776,1270,366,1365,431,2596,818,153,46,529,155,1164,442,711,263
ABO1173,1003,533,729,350,1384,678,247,119,299,153,578,378,353,200
ABP2003,914,355,746,338,1393,640,181,73,267,118,761,399,492,218
ABP2917,641,292,302,118,569,230,161,63,153,68,460,239,261,138
ABR0397,289,89,282,83,517,160,39,11,111,34,361,146,204,89
ABS0677,1811,323,873,182,1719,339,402,72,519,108,666,172,420,113
ABW0501,746,229,816,258,1558,501,190,61,191,67,840,330,475,187
ACA0360,432,275,388,226,773,370,49,37,176,96,510,309,326,194
ACA3252,133,8,105,20,196,24,0,0,63,5,247,64,154,46
ACB0701,456,200,279,106,542,194,112,40,140,50,315,179,165,103
ACB3123,1151,544,721,367,1464,596,217,127,380,157,560,287,324,153
ACC2773,1272,615,755,341,1426,629,284,128,363,169,852,461,442,271
ACF1806,535,152,311,99,554,170,120,35,155,47,319,130,188,69
ACG0312,326,58,116,19,183,32,88,14,62,11,289,76,195,62
ACG3819,582,288,266,139,495,292,150,79,113,64,490,305,299,168
ACH0008,2218,640,2555,799,4613,1351,0,0,1178,352,1753,729,1015,391
ACH1405,536,185,781,291,1566,509,0,0,291,104,773,308,471,181
ACH1910,1957,842,927,440,1717,807,411,183,544,251,667,376,393,219
ACH2102,979,193,937,170,1700,322,98,22,394,86,929,236,583,136
ACJ0014,2438,424,1857,333,3396,670,390,72,850,145,1262,418,790,244
ACL2943,2310,428,1558,242,2904,535,674,104,621,128,1166,313,761,189
ACM0100,1126,170,917,161,1767,256,214,32,383,64,1152,308,698,174
ACM2278,1107,493,620,261,1197,482,260,119,311,147,637,267,385,159
ACM3964,235,142,71,48,144,83,59,36,58,34,190,112,112,71
ACN2347,572,202,265,88,531,156,155,59,142,41,454,212,253,128
ACP2122,794,190,896,234,1742,422,109,28,342,73,890,306,599,185
ACR0331,403,122,906,189,1662,374,0,0,215,52,756,237,491,139
ACR0748,1102,224,879,195,1696,356,202,44,375,88,903,208,585,115
ACS0128,846,251,743,202,1354,442,260,80,197,61,630,313,368,194
