user,day,numdistinctRecipientsDay,numdistinctRecipientsNight,numinternalRecipientsDay,numinternalRecipientsNight
AAS3428,2010-01-09,0,32,0,4
ABK3081,2010-01-09,0,15,0,8
ABM3641,2010-01-09,0,2,0,0
ABP2917,2010-01-09,0,10,0,3
ACH1910,2010-01-09,0,16,0,7
ACP2122,2010-01-09,0,22,0,6
ADP3667,2010-01-09,0,4,0,1
AEM0554,2010-01-09,0,16,0,7
AFP2709,2010-01-09,0,19,0,5
AKB2312,2010-01-09,0,14,0,2
AKK2125,2010-01-09,0,16,0,8
AKS3496,2010-01-09,0,25,0,8
ALS3440,2010-01-09,0,32,0,14
AMB3100,2010-01-09,0,23,0,7
AME1490,2010-01-09,0,2,0,0
ANC1950,2010-01-09,0,20,0,3
APB3823,2010-01-09,0,12,0,3
ARW0818,2010-01-09,0,13,0,9
ARZ3464,2010-01-09,0,7,0,1
ATM1615,2010-01-09,0,9,0,3
ATT0293,2010-01-09,0,19,0,6
ATT1191,2010-01-09,0,19,0,7
AXW3243,2010-01-09,0,28,0,9
AYD2775,2010-01-09,0,5,0,0
BAW0780,2010-01-09,0,22,0,4
BCB0521,2010-01-09,0,11,0,2
BCM3794,2010-01-09,0,33,0,13
BHD2088,2010-01-09,0,16,0,8
BKF1545,2010-01-09,0,5,0,1
BLB1876,2010-01-09,0,18,0,7
BMC3636,2010-01-09,0,4,0,0
BOR2387,2010-01-09,0,43,0,14
BOV1609,2010-01-09,0,34,0,10
BPD2437,2010-01-09,0,24,0,7
BYS3626,2010-01-09,0,2,0,0
CBA1023,2010-01-09,0,24,0,5
CCT2165,2010-01-09,0,5,0,0
CDB2017,2010-01-09,0,17,0,8
CDC3413,2010-01-09,0,28,0,14
CER0228,2010-01-09,0,14,0,6
CGG3388,2010-01-09,0,7,0,3
CHA3190,2010-01-09,0,29,0,5
CHC0252,2010-01-09,0,22,0,9
CHM1561,2010-01-09,0,5,0,1
CHU3211,2010-01-09,0,17,0,7
CJH2330,2010-01-09,0,29,0,11
CJM0273,2010-01-09,0,23,0,5
CJM3543,2010-01-09,0,19,0,5
CPC0724,2010-01-09,0,10,0,2
CQS2883,2010-01-09,0,27,0,6
CRM0139,2010-01-09,0,28,0,2
CXM1821,2010-01-09,0,19,0,5
DAE1437,2010-01-09,0,15,0,2
DBC3871,2010-01-09,0,21,0,5
DBF3635,2010-01-09,0,5,0,1
DCM3596,2010-01-09,0,19,0,7
DCW2405,2010-01-09,0,12,0,6
DFC2060,2010-01-09,0,18,0,8
DJA0740,2010-01-09,0,21,0,7
DNM0275,2010-01-09,0,16,0,4
DNS1758,2010-01-09,0,16,0,7
DPM2971,2010-01-09,0,8,0,3
DRF1498,2010-01-09,0,2,0,1
EDJ1970,2010-01-09,0,16,0,9
EMK3809,2010-01-09,0,8,0,3
ENS1748,2010-01-09,0,28,0,10
FAJ3608,2010-01-09,0,20,0,3
FDF2135,2010-01-09,0,16,0,5
GAF2480,2010-01-09,0,19,0,6
GAH0525,2010-01-09,0,14,0,6
GCN1743,2010-01-09,0,23,0,9
GDM3960,2010-01-09,0,2,0,0
GEG2093,2010-01-09,0,14,0,8
GES2626,2010-01-09,0,21,0,8
GJS0160,2010-01-09,0,24,0,6
GKG3414,2010-01-09,0,33,0,12
GKL0006,2010-01-09,0,45,0,23
GNB3337,2010-01-09,0,5,0,1
GRP0277,2010-01-09,0,18,0,1
GRY1398,2010-01-09,0,13,0,1
GUC3945,2010-01-09,0,2,0,1
HCS2231,2010-01-09,0,6,0,1
HDB1666,2010-01-09,0,27,0,10
HDP1890,2010-01-09,0,9,0,3
HHF1995,2010-01-09,0,18,0,4
HLO2756,2010-01-09,0,12,0,7
HMB0805,2010-01-09,0,18,0,6
HMM2628,2010-01-09,0,14,0,2
HSH3606,2010-01-09,0,11,0,3
HSK0639,2010-01-09,0,15,0,5
HTC1750,2010-01-09,0,27,0,8
IDF0189,2010-01-09,0,19,0,9
IFC0958,2010-01-09,0,26,0,8
IKM1808,2010-01-09,0,15,0,6
IMC3296,2010-01-09,0,5,0,1
